line,101_CT_1,101_CT_2,101_STEAM_3,101_STEAM_4,102_CT_1,102_CT_2,102_STEAM_3,102_STEAM_4,107_CC_1,113_CT_1,113_CT_2,113_CT_3,113_CT_4,115_STEAM_1,115_STEAM_2,115_STEAM_3,116_STEAM_1,118_CC_1,122_WIND_1,123_CT_1,123_CT_4,123_CT_5,123_STEAM_2,123_STEAM_3,201_CT_1,201_CT_2,201_STEAM_3,202_CT_1,202_CT_2,202_STEAM_3,202_STEAM_4,207_CT_1,207_CT_2,212_CSP_1,213_CC_3,213_CT_1,213_CT_2,215_CT_4,215_CT_5,216_STEAM_1,218_CC_1,221_CC_1,223_CT_4,223_CT_5,223_CT_6,223_STEAM_1,223_STEAM_2,223_STEAM_3,301_CT_1,301_CT_2,301_CT_3,301_CT_4,302_CT_1,302_CT_2,302_CT_3,302_CT_4,303_WIND_1,307_CT_1,307_CT_2,309_WIND_1,313_CC_1,315_CT_6,315_CT_7,315_CT_8,315_STEAM_1,315_STEAM_2,315_STEAM_3,315_STEAM_4,315_STEAM_5,316_STEAM_1,317_WIND_1,318_CC_1,321_CC_1,322_CT_5,322_CT_6,323_CC_1,323_CC_2
A26,0.000000,0.000000,0.000000,0.000000,0.007152,0.007152,0.007152,0.007152,0.113549,0.153792,0.153792,0.153792,0.153792,0.324209,0.324209,0.324209,0.282060,0.298688,0.299589,0.200304,0.200304,0.200304,0.200304,0.200304,0.175388,0.175388,0.175388,0.175801,0.175801,0.175801,0.175801,0.179437,0.179437,0.184553,0.185741,0.185741,0.185741,0.177569,0.177569,0.182442,0.182639,0.181044,0.193968,0.193968,0.193968,0.193968,0.193968,0.193968,0.251951,0.251951,0.251951,0.251951,0.252047,0.252047,0.252047,0.252047,0.248927,0.252895,0.252895,0.252551,0.255310,0.242836,0.242836,0.242836,0.242836,0.242836,0.242836,0.242836,0.242836,0.245105,0.239209,0.236094,0.238468,0.238759,0.238759,0.260658,0.260658
A27,0.000000,0.000000,0.000000,0.000000,0.000940,0.000940,0.000940,0.000940,-0.005740,0.015765,0.015765,0.015765,0.015765,-0.088795,-0.088795,-0.088795,0.082519,-0.476498,-0.452603,0.032588,0.032588,0.032588,0.032588,0.032588,-0.033904,-0.033904,-0.033904,-0.034268,-0.034268,-0.034268,-0.034268,-0.037465,-0.037465,-0.044628,-0.045145,-0.045145,-0.045145,-0.013677,-0.013677,-0.020935,-0.010130,-0.011246,-0.060125,-0.060125,-0.060125,-0.060125,-0.060125,-0.060125,-0.211527,-0.211527,-0.211527,-0.211527,-0.211779,-0.211779,-0.211779,-0.211779,-0.203632,-0.213992,-0.213992,-0.213097,-0.220300,-0.187727,-0.187727,-0.187727,-0.187727,-0.187727,-0.187727,-0.187727,-0.187727,-0.193653,-0.178257,-0.170124,-0.176322,-0.177082,-0.177082,-0.234264,-0.234264
A28,0.000000,0.000000,0.000000,0.000000,-0.003261,-0.003261,-0.003261,-0.003261,-0.067048,-0.120433,-0.120433,-0.120433,-0.120433,0.308112,0.308112,0.308112,0.342001,0.306763,0.304853,-0.318718,-0.318718,-0.318718,-0.318718,-0.318718,-0.104945,-0.104945,-0.104945,-0.104896,-0.104896,-0.104896,-0.104896,-0.104469,-0.104469,-0.098716,-0.099596,-0.099596,-0.099596,-0.142841,-0.142841,-0.141190,-0.166552,-0.159092,-0.083651,-0.083651,-0.083651,-0.083651,-0.083651,-0.083651,0.117344,0.117344,0.117344,0.117344,0.117678,0.117678,0.117678,0.117678,0.106862,0.120616,0.120616,0.119427,0.128990,0.085748,0.085748,0.085748,0.085748,0.085748,0.085748,0.085748,0.085748,0.093615,0.073176,0.062379,0.070606,0.071616,0.071616,0.147528,0.147528
A29,0.000000,0.000000,0.000000,0.000000,0.000813,0.000813,0.000813,0.000813,-0.004965,0.013636,0.013636,0.013636,0.013636,-0.076807,-0.076807,-0.076807,0.071379,-0.477171,-0.051502,0.028189,0.028189,0.028189,0.028189,0.028189,-0.029327,-0.029327,-0.029327,-0.029642,-0.029642,-0.029642,-0.029642,-0.032407,-0.032407,-0.038603,-0.039051,-0.039051,-0.039051,-0.011831,-0.011831,-0.018109,-0.008763,-0.009728,-0.052008,-0.052008,-0.052008,-0.052008,-0.052008,-0.052008,-0.182971,-0.182971,-0.182971,-0.182971,-0.183189,-0.183189,-0.183189,-0.183189,-0.176142,-0.185103,-0.185103,-0.184329,-0.190560,-0.162384,-0.162384,-0.162384,-0.162384,-0.162384,-0.162384,-0.162384,-0.162384,-0.167510,-0.154193,-0.147157,-0.152518,-0.153176,-0.153176,-0.202639,-0.202639
A30,0.000000,0.000000,0.000000,0.000000,0.000127,0.000127,0.000127,0.000127,-0.000775,0.002128,0.002128,0.002128,0.002128,-0.011987,-0.011987,-0.011987,0.011140,0.000673,-0.401101,0.004399,0.004399,0.004399,0.004399,0.004399,-0.004577,-0.004577,-0.004577,-0.004626,-0.004626,-0.004626,-0.004626,-0.005058,-0.005058,-0.006025,-0.006095,-0.006095,-0.006095,-0.001846,-0.001846,-0.002826,-0.001368,-0.001518,-0.008117,-0.008117,-0.008117,-0.008117,-0.008117,-0.008117,-0.028556,-0.028556,-0.028556,-0.028556,-0.028590,-0.028590,-0.028590,-0.028590,-0.027490,-0.028889,-0.028889,-0.028768,-0.029741,-0.025343,-0.025343,-0.025343,-0.025343,-0.025343,-0.025343,-0.025343,-0.025343,-0.026143,-0.024065,-0.022967,-0.023803,-0.023906,-0.023906,-0.031626,-0.031626
A31-1,0.000000,0.000000,0.000000,0.000000,0.000406,0.000406,0.000406,0.000406,-0.002483,0.006818,0.006818,0.006818,0.006818,-0.038404,-0.038404,-0.038404,0.035690,0.261415,-0.025751,0.014094,0.014094,0.014094,0.014094,0.014094,-0.014663,-0.014663,-0.014663,-0.014821,-0.014821,-0.014821,-0.014821,-0.016204,-0.016204,-0.019302,-0.019525,-0.019525,-0.019525,-0.005915,-0.005915,-0.009054,-0.004381,-0.004864,-0.026004,-0.026004,-0.026004,-0.026004,-0.026004,-0.026004,-0.091486,-0.091486,-0.091486,-0.091486,-0.091595,-0.091595,-0.091595,-0.091595,-0.088071,-0.092552,-0.092552,-0.092164,-0.095280,-0.081192,-0.081192,-0.081192,-0.081192,-0.081192,-0.081192,-0.081192,-0.081192,-0.083755,-0.077096,-0.073579,-0.076259,-0.076588,-0.076588,-0.101319,-0.101319
A31-2,0.000000,0.000000,0.000000,0.000000,0.000406,0.000406,0.000406,0.000406,-0.002483,0.006818,0.006818,0.006818,0.006818,-0.038404,-0.038404,-0.038404,0.035690,0.261415,-0.025751,0.014094,0.014094,0.014094,0.014094,0.014094,-0.014663,-0.014663,-0.014663,-0.014821,-0.014821,-0.014821,-0.014821,-0.016204,-0.016204,-0.019302,-0.019525,-0.019525,-0.019525,-0.005915,-0.005915,-0.009054,-0.004381,-0.004864,-0.026004,-0.026004,-0.026004,-0.026004,-0.026004,-0.026004,-0.091486,-0.091486,-0.091486,-0.091486,-0.091595,-0.091595,-0.091595,-0.091595,-0.088071,-0.092552,-0.092552,-0.092164,-0.095280,-0.081192,-0.081192,-0.081192,-0.081192,-0.081192,-0.081192,-0.081192,-0.081192,-0.083755,-0.077096,-0.073579,-0.076259,-0.076588,-0.076588,-0.101319,-0.101319
A32-1,0.000000,0.000000,0.000000,0.000000,-0.001630,-0.001630,-0.001630,-0.001630,-0.033524,-0.060216,-0.060216,-0.060216,-0.060216,0.154056,0.154056,0.154056,0.171001,0.153381,0.152427,-0.159359,-0.159359,-0.159359,-0.159359,-0.159359,-0.052472,-0.052472,-0.052472,-0.052448,-0.052448,-0.052448,-0.052448,-0.052234,-0.052234,-0.049358,-0.049798,-0.049798,-0.049798,-0.071420,-0.071420,-0.070595,-0.083276,-0.079546,-0.041825,-0.041825,-0.041825,-0.041825,-0.041825,-0.041825,0.058672,0.058672,0.058672,0.058672,0.058839,0.058839,0.058839,0.058839,0.053431,0.060308,0.060308,0.059713,0.064495,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.046807,0.036588,0.031189,0.035303,0.035808,0.035808,0.073764,0.073764
A32-2,0.000000,0.000000,0.000000,0.000000,-0.001630,-0.001630,-0.001630,-0.001630,-0.033524,-0.060216,-0.060216,-0.060216,-0.060216,0.154056,0.154056,0.154056,0.171001,0.153381,0.152427,-0.159359,-0.159359,-0.159359,-0.159359,-0.159359,-0.052472,-0.052472,-0.052472,-0.052448,-0.052448,-0.052448,-0.052448,-0.052234,-0.052234,-0.049358,-0.049798,-0.049798,-0.049798,-0.071420,-0.071420,-0.070595,-0.083276,-0.079546,-0.041825,-0.041825,-0.041825,-0.041825,-0.041825,-0.041825,0.058672,0.058672,0.058672,0.058672,0.058839,0.058839,0.058839,0.058839,0.053431,0.060308,0.060308,0.059713,0.064495,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.046807,0.036588,0.031189,0.035303,0.035808,0.035808,0.073764,0.073764
A33-1,0.000000,0.000000,0.000000,0.000000,-0.001630,-0.001630,-0.001630,-0.001630,-0.033524,-0.060216,-0.060216,-0.060216,-0.060216,0.154056,0.154056,0.154056,0.171001,0.153381,0.152427,-0.159359,-0.159359,-0.159359,-0.159359,-0.159359,-0.052472,-0.052472,-0.052472,-0.052448,-0.052448,-0.052448,-0.052448,-0.052234,-0.052234,-0.049358,-0.049798,-0.049798,-0.049798,-0.071420,-0.071420,-0.070595,-0.083276,-0.079546,-0.041825,-0.041825,-0.041825,-0.041825,-0.041825,-0.041825,0.058672,0.058672,0.058672,0.058672,0.058839,0.058839,0.058839,0.058839,0.053431,0.060308,0.060308,0.059713,0.064495,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.046807,0.036588,0.031189,0.035303,0.035808,0.035808,0.073764,0.073764
A33-2,0.000000,0.000000,0.000000,0.000000,-0.001630,-0.001630,-0.001630,-0.001630,-0.033524,-0.060216,-0.060216,-0.060216,-0.060216,0.154056,0.154056,0.154056,0.171001,0.153381,0.152427,-0.159359,-0.159359,-0.159359,-0.159359,-0.159359,-0.052472,-0.052472,-0.052472,-0.052448,-0.052448,-0.052448,-0.052448,-0.052234,-0.052234,-0.049358,-0.049798,-0.049798,-0.049798,-0.071420,-0.071420,-0.070595,-0.083276,-0.079546,-0.041825,-0.041825,-0.041825,-0.041825,-0.041825,-0.041825,0.058672,0.058672,0.058672,0.058672,0.058839,0.058839,0.058839,0.058839,0.053431,0.060308,0.060308,0.059713,0.064495,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.042874,0.046807,0.036588,0.031189,0.035303,0.035808,0.035808,0.073764,0.073764
A34,0.000000,0.000000,0.000000,0.000000,-0.000127,-0.000127,-0.000127,-0.000127,0.000775,-0.002128,-0.002128,-0.002128,-0.002128,0.011987,0.011987,0.011987,-0.011140,-0.000673,-0.598899,-0.004399,-0.004399,-0.004399,-0.004399,-0.004399,0.004577,0.004577,0.004577,0.004626,0.004626,0.004626,0.004626,0.005058,0.005058,0.006025,0.006095,0.006095,0.006095,0.001846,0.001846,0.002826,0.001368,0.001518,0.008117,0.008117,0.008117,0.008117,0.008117,0.008117,0.028556,0.028556,0.028556,0.028556,0.028590,0.028590,0.028590,0.028590,0.027490,0.028889,0.028889,0.028768,0.029741,0.025343,0.025343,0.025343,0.025343,0.025343,0.025343,0.025343,0.025343,0.026143,0.024065,0.022967,0.023803,0.023906,0.023906,0.031626,0.031626
AB3,0.000000,0.000000,0.000000,0.000000,-0.000464,-0.000464,-0.000464,-0.000464,-0.118661,-0.028500,-0.028500,-0.028500,-0.028500,0.043857,0.043857,0.043857,0.057363,0.035982,0.034823,0.162541,0.162541,0.162541,0.162541,0.162541,-0.270896,-0.270896,-0.270896,-0.271668,-0.271668,-0.271668,-0.271668,-0.278451,-0.278451,-0.280797,-0.284438,-0.284438,-0.284438,-0.306103,-0.306103,-0.335868,-0.391438,-0.364593,-0.278855,-0.278855,-0.278855,-0.278855,-0.278855,-0.278855,-0.115671,-0.115671,-0.115671,-0.115671,-0.115400,-0.115400,-0.115400,-0.115400,-0.124181,-0.113015,-0.113015,-0.113980,-0.106216,-0.141324,-0.141324,-0.141324,-0.141324,-0.141324,-0.141324,-0.141324,-0.141324,-0.134937,-0.151530,-0.160297,-0.153617,-0.152797,-0.152797,-0.091166,-0.091166
B1,0.000000,0.000000,0.000000,0.000000,0.000064,0.000064,0.000064,0.000064,0.023800,-0.003597,-0.003597,-0.003597,-0.003597,-0.006015,-0.006015,-0.006015,-0.005786,-0.006776,-0.006830,-0.005598,-0.005598,-0.005598,-0.005598,-0.005598,0.394768,0.394768,0.394768,-0.547979,-0.547979,-0.547979,-0.547979,-0.053116,-0.053116,-0.042151,-0.037737,-0.037737,-0.037737,-0.006399,-0.006399,-0.012894,-0.008849,-0.008078,-0.025745,-0.025745,-0.025745,-0.025745,-0.025745,-0.025745,-0.015867,-0.015867,-0.015867,-0.015867,-0.015850,-0.015850,-0.015850,-0.015850,-0.016382,-0.015706,-0.015706,-0.015764,-0.015294,-0.017420,-0.017420,-0.017420,-0.017420,-0.017420,-0.017420,-0.017420,-0.017420,-0.017033,-0.018037,-0.018568,-0.018164,-0.018114,-0.018114,-0.014383,-0.014383
B2,0.000000,0.000000,0.000000,0.000000,-0.000132,-0.000132,-0.000132,-0.000132,-0.049499,0.007481,0.007481,0.007481,0.007481,0.012510,0.012510,0.012510,0.012034,0.014094,0.014205,0.011643,0.011643,0.011643,0.011643,0.011643,0.329122,0.329122,0.329122,0.306233,0.306233,0.306233,0.306233,0.110471,0.110471,0.087665,0.078487,0.078487,0.078487,0.013309,0.013309,0.026818,0.018404,0.016801,0.053544,0.053544,0.053544,0.053544,0.053544,0.053544,0.033000,0.033000,0.033000,0.033000,0.032966,0.032966,0.032966,0.032966,0.034071,0.032666,0.032666,0.032787,0.031810,0.036230,0.036230,0.036230,0.036230,0.036230,0.036230,0.036230,0.036230,0.035425,0.037515,0.038618,0.037777,0.037674,0.037674,0.029915,0.029915
B3,0.000000,0.000000,0.000000,0.000000,0.000069,0.000069,0.000069,0.000069,0.025699,-0.003884,-0.003884,-0.003884,-0.003884,-0.006495,-0.006495,-0.006495,-0.006248,-0.007317,-0.007375,-0.006045,-0.006045,-0.006045,-0.006045,-0.006045,0.276110,0.276110,0.276110,0.241746,0.241746,0.241746,0.241746,-0.057355,-0.057355,-0.045515,-0.040749,-0.040749,-0.040749,-0.006910,-0.006910,-0.013924,-0.009555,-0.008723,-0.027800,-0.027800,-0.027800,-0.027800,-0.027800,-0.027800,-0.017133,-0.017133,-0.017133,-0.017133,-0.017116,-0.017116,-0.017116,-0.017116,-0.017689,-0.016960,-0.016960,-0.017023,-0.016515,-0.018810,-0.018810,-0.018810,-0.018810,-0.018810,-0.018810,-0.018810,-0.018810,-0.018393,-0.019477,-0.020050,-0.019614,-0.019560,-0.019560,-0.015531,-0.015531
B4,0.000000,0.000000,0.000000,0.000000,0.000020,0.000020,0.000020,0.000020,0.007544,-0.001140,-0.001140,-0.001140,-0.001140,-0.001906,-0.001906,-0.001906,-0.001834,-0.002148,-0.002165,-0.001774,-0.001774,-0.001774,-0.001774,-0.001774,0.227810,0.227810,0.227810,0.256393,0.256393,0.256393,0.256393,-0.016836,-0.016836,-0.013360,-0.011961,-0.011961,-0.011961,-0.002028,-0.002028,-0.004087,-0.002805,-0.002560,-0.008160,-0.008160,-0.008160,-0.008160,-0.008160,-0.008160,-0.005029,-0.005029,-0.005029,-0.005029,-0.005024,-0.005024,-0.005024,-0.005024,-0.005192,-0.004978,-0.004978,-0.004997,-0.004848,-0.005521,-0.005521,-0.005521,-0.005521,-0.005521,-0.005521,-0.005521,-0.005521,-0.005399,-0.005717,-0.005885,-0.005757,-0.005741,-0.005741,-0.004559,-0.004559
B5,0.000000,0.000000,0.000000,0.000000,0.000043,0.000043,0.000043,0.000043,0.016256,-0.002457,-0.002457,-0.002457,-0.002457,-0.004108,-0.004108,-0.004108,-0.003952,-0.004629,-0.004665,-0.003824,-0.003824,-0.003824,-0.003824,-0.003824,0.166958,0.166958,0.166958,0.195628,0.195628,0.195628,0.195628,-0.036280,-0.036280,-0.028790,-0.025776,-0.025776,-0.025776,-0.004371,-0.004371,-0.008807,-0.006044,-0.005518,-0.017585,-0.017585,-0.017585,-0.017585,-0.017585,-0.017585,-0.010838,-0.010838,-0.010838,-0.010838,-0.010826,-0.010826,-0.010826,-0.010826,-0.011189,-0.010728,-0.010728,-0.010768,-0.010447,-0.011898,-0.011898,-0.011898,-0.011898,-0.011898,-0.011898,-0.011898,-0.011898,-0.011634,-0.012320,-0.012683,-0.012407,-0.012373,-0.012373,-0.009824,-0.009824
B6,0.000000,0.000000,0.000000,0.000000,0.000281,0.000281,0.000281,0.000281,0.105211,-0.015901,-0.015901,-0.015901,-0.015901,-0.026589,-0.026589,-0.026589,-0.025578,-0.029956,-0.030194,-0.024748,-0.024748,-0.024748,-0.024748,-0.024748,-0.094906,-0.094906,-0.094906,-0.109748,-0.109748,-0.109748,-0.109748,-0.234806,-0.234806,-0.186334,-0.166824,-0.166824,-0.166824,-0.028288,-0.028288,-0.057002,-0.039118,-0.035711,-0.113809,-0.113809,-0.113809,-0.113809,-0.113809,-0.113809,-0.070142,-0.070142,-0.070142,-0.070142,-0.070069,-0.070069,-0.070069,-0.070069,-0.072419,-0.069431,-0.069431,-0.069689,-0.067612,-0.077006,-0.077006,-0.077006,-0.077006,-0.077006,-0.077006,-0.077006,-0.077006,-0.075297,-0.079738,-0.082083,-0.080296,-0.080076,-0.080076,-0.063584,-0.063584
B7,0.000000,0.000000,0.000000,0.000000,0.000240,0.000240,0.000240,0.000240,0.174144,-0.040697,-0.040697,-0.040697,-0.040697,-0.022673,-0.022673,-0.022673,-0.025102,-0.022631,-0.022497,-0.039544,-0.039544,-0.039544,-0.039544,-0.039544,0.185539,0.185539,0.185539,0.179753,0.179753,0.179753,0.179753,0.128918,0.128918,0.078528,0.057732,0.057732,0.057732,-0.104952,-0.104952,-0.065250,-0.080240,-0.088014,0.004178,0.004178,0.004178,0.004178,0.004178,0.004178,-0.009616,-0.009616,-0.009616,-0.009616,-0.009639,-0.009639,-0.009639,-0.009639,-0.008896,-0.009840,-0.009840,-0.009759,-0.010415,-0.007447,-0.007447,-0.007447,-0.007447,-0.007447,-0.007447,-0.007447,-0.007447,-0.007987,-0.006584,-0.005843,-0.006408,-0.006477,-0.006477,-0.011687,-0.011687
B8,0.000000,0.000000,0.000000,0.000000,0.000020,0.000020,0.000020,0.000020,0.007544,-0.001140,-0.001140,-0.001140,-0.001140,-0.001906,-0.001906,-0.001906,-0.001834,-0.002148,-0.002165,-0.001774,-0.001774,-0.001774,-0.001774,-0.001774,0.227810,0.227810,0.227810,0.256393,0.256393,0.256393,0.256393,-0.016836,-0.016836,-0.013360,-0.011961,-0.011961,-0.011961,-0.002028,-0.002028,-0.004087,-0.002805,-0.002560,-0.008160,-0.008160,-0.008160,-0.008160,-0.008160,-0.008160,-0.005029,-0.005029,-0.005029,-0.005029,-0.005024,-0.005024,-0.005024,-0.005024,-0.005192,-0.004978,-0.004978,-0.004997,-0.004848,-0.005521,-0.005521,-0.005521,-0.005521,-0.005521,-0.005521,-0.005521,-0.005521,-0.005399,-0.005717,-0.005885,-0.005757,-0.005741,-0.005741,-0.004559,-0.004559
B9,0.000000,0.000000,0.000000,0.000000,0.000069,0.000069,0.000069,0.000069,0.025699,-0.003884,-0.003884,-0.003884,-0.003884,-0.006495,-0.006495,-0.006495,-0.006248,-0.007317,-0.007375,-0.006045,-0.006045,-0.006045,-0.006045,-0.006045,0.276110,0.276110,0.276110,0.241746,0.241746,0.241746,0.241746,-0.057355,-0.057355,-0.045515,-0.040749,-0.040749,-0.040749,-0.006910,-0.006910,-0.013924,-0.009555,-0.008723,-0.027800,-0.027800,-0.027800,-0.027800,-0.027800,-0.027800,-0.017133,-0.017133,-0.017133,-0.017133,-0.017116,-0.017116,-0.017116,-0.017116,-0.017689,-0.016960,-0.016960,-0.017023,-0.016515,-0.018810,-0.018810,-0.018810,-0.018810,-0.018810,-0.018810,-0.018810,-0.018810,-0.018393,-0.019477,-0.020050,-0.019614,-0.019560,-0.019560,-0.015531,-0.015531
B10,0.000000,0.000000,0.000000,0.000000,0.000043,0.000043,0.000043,0.000043,0.016256,-0.002457,-0.002457,-0.002457,-0.002457,-0.004108,-0.004108,-0.004108,-0.003952,-0.004629,-0.004665,-0.003824,-0.003824,-0.003824,-0.003824,-0.003824,0.166958,0.166958,0.166958,0.195628,0.195628,0.195628,0.195628,-0.036280,-0.036280,-0.028790,-0.025776,-0.025776,-0.025776,-0.004371,-0.004371,-0.008807,-0.006044,-0.005518,-0.017585,-0.017585,-0.017585,-0.017585,-0.017585,-0.017585,-0.010838,-0.010838,-0.010838,-0.010838,-0.010826,-0.010826,-0.010826,-0.010826,-0.011189,-0.010728,-0.010728,-0.010768,-0.010447,-0.011898,-0.011898,-0.011898,-0.011898,-0.011898,-0.011898,-0.011898,-0.011898,-0.011634,-0.012320,-0.012683,-0.012407,-0.012373,-0.012373,-0.009824,-0.009824
B11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B12-1,0.000000,0.000000,0.000000,0.000000,-0.000019,-0.000019,-0.000019,-0.000019,-0.007182,0.001086,0.001086,0.001086,0.001086,0.001815,0.001815,0.001815,0.001746,0.002045,0.002061,0.001690,0.001690,0.001690,0.001690,0.001690,0.031466,0.031466,0.031466,0.029494,0.029494,0.029494,0.029494,0.516030,0.516030,0.012721,0.011389,0.011389,0.011389,0.001931,0.001931,0.003891,0.002670,0.002438,0.007769,0.007769,0.007769,0.007769,0.007769,0.007769,0.004788,0.004788,0.004788,0.004788,0.004783,0.004783,0.004783,0.004783,0.004944,0.004740,0.004740,0.004758,0.004616,0.005257,0.005257,0.005257,0.005257,0.005257,0.005257,0.005257,0.005257,0.005140,0.005443,0.005604,0.005482,0.005467,0.005467,0.004341,0.004341
B13-2,0.000000,0.000000,0.000000,0.000000,0.000019,0.000019,0.000019,0.000019,0.007182,-0.001086,-0.001086,-0.001086,-0.001086,-0.001815,-0.001815,-0.001815,-0.001746,-0.002045,-0.002061,-0.001690,-0.001690,-0.001690,-0.001690,-0.001690,-0.031466,-0.031466,-0.031466,-0.029494,-0.029494,-0.029494,-0.029494,0.483970,0.483970,-0.012721,-0.011389,-0.011389,-0.011389,-0.001931,-0.001931,-0.003891,-0.002670,-0.002438,-0.007769,-0.007769,-0.007769,-0.007769,-0.007769,-0.007769,-0.004788,-0.004788,-0.004788,-0.004788,-0.004783,-0.004783,-0.004783,-0.004783,-0.004944,-0.004740,-0.004740,-0.004758,-0.004616,-0.005257,-0.005257,-0.005257,-0.005257,-0.005257,-0.005257,-0.005257,-0.005257,-0.005140,-0.005443,-0.005604,-0.005482,-0.005467,-0.005467,-0.004341,-0.004341
B14,0.000000,0.000000,0.000000,0.000000,0.000113,0.000113,0.000113,0.000113,0.054495,-0.009928,-0.009928,-0.009928,-0.009928,-0.010720,-0.010720,-0.010720,-0.010954,-0.011510,-0.011541,-0.013931,-0.013931,-0.013931,-0.013931,-0.013931,0.091889,0.091889,0.091889,0.097958,0.097958,0.097958,0.097958,0.143700,0.143700,0.032109,-0.066585,-0.066585,-0.066585,-0.020013,-0.020013,-0.036423,-0.025640,-0.023870,-0.026171,-0.026171,-0.026171,-0.026171,-0.026171,-0.026171,-0.018504,-0.018504,-0.018504,-0.018504,-0.018491,-0.018491,-0.018491,-0.018491,-0.018904,-0.018379,-0.018379,-0.018424,-0.018060,-0.019709,-0.019709,-0.019709,-0.019709,-0.019709,-0.019709,-0.019709,-0.019709,-0.019409,-0.020189,-0.020601,-0.020287,-0.020248,-0.020248,-0.017352,-0.017352
B15,0.000000,0.000000,0.000000,0.000000,0.000169,0.000169,0.000169,0.000169,0.051077,-0.006028,-0.006028,-0.006028,-0.006028,-0.015960,-0.015960,-0.015960,-0.014712,-0.018549,-0.018756,-0.010902,-0.010902,-0.010902,-0.010902,-0.010902,0.072481,0.072481,0.072481,0.078182,0.078182,0.078182,0.078182,0.120688,0.120688,-0.219082,-0.100812,-0.100812,-0.100812,-0.008373,-0.008373,-0.020775,-0.013612,-0.011964,-0.088029,-0.088029,-0.088029,-0.088029,-0.088029,-0.088029,-0.051879,-0.051879,-0.051879,-0.051879,-0.051819,-0.051819,-0.051819,-0.051819,-0.053764,-0.051290,-0.051290,-0.051504,-0.049784,-0.057562,-0.057562,-0.057562,-0.057562,-0.057562,-0.057562,-0.057562,-0.057562,-0.056147,-0.059823,-0.061765,-0.060285,-0.060103,-0.060103,-0.046450,-0.046450
B16,0.000000,0.000000,0.000000,0.000000,0.000038,0.000038,0.000038,0.000038,0.026278,-0.005663,-0.005663,-0.005663,-0.005663,-0.003589,-0.003589,-0.003589,-0.004094,-0.003476,-0.003443,-0.007294,-0.007294,-0.007294,-0.007294,-0.007294,0.215505,0.215505,0.215505,0.213828,0.213828,0.213828,0.213828,0.206674,0.206674,0.082082,-0.021844,-0.021844,-0.021844,-0.012426,-0.012426,-0.021135,-0.015149,-0.014292,0.004352,0.004352,0.004352,0.004352,0.004352,0.004352,0.000308,0.000308,0.000308,0.000308,0.000301,0.000301,0.000301,0.000301,0.000519,0.000242,0.000242,0.000266,0.000073,0.000944,0.000944,0.000944,0.000944,0.000944,0.000944,0.000944,0.000944,0.000785,0.001197,0.001414,0.001248,0.001228,0.001228,-0.000299,-0.000299
B17,0.000000,0.000000,0.000000,0.000000,0.000093,0.000093,0.000093,0.000093,0.022860,-0.001763,-0.001763,-0.001763,-0.001763,-0.008829,-0.008829,-0.008829,-0.007852,-0.010514,-0.010659,-0.004265,-0.004265,-0.004265,-0.004265,-0.004265,0.196097,0.196097,0.196097,0.194052,0.194052,0.194052,0.194052,0.183661,0.183661,-0.169108,-0.056070,-0.056070,-0.056070,-0.000786,-0.000786,-0.005487,-0.003121,-0.002386,-0.057506,-0.057506,-0.057506,-0.057506,-0.057506,-0.057506,-0.033067,-0.033067,-0.033067,-0.033067,-0.033026,-0.033026,-0.033026,-0.033026,-0.034342,-0.032669,-0.032669,-0.032814,-0.031651,-0.036909,-0.036909,-0.036909,-0.036909,-0.036909,-0.036909,-0.036909,-0.036909,-0.035952,-0.038437,-0.039750,-0.038750,-0.038627,-0.038627,-0.029397,-0.029397
